scan_date,ticker,name,market,sector,close,atr20,atr_pct,high20,low10,gap,gap_atr,dist_to_break,dist_atr,vol_mult,unit_shares,value_avg_20,status
20260811,033640,네패스,KOSDAQ,전기전자,17500,2257,12.9,24600,11400,-7100,-3.146,7100,3.146,0.63,443,2704372062,임박
20260811,004090,한국석유,KOSPI,비금속,10850,679,6.26,12990,9690,-2140,-3.152,2140,3.152,0.27,1472,4277388088,임박
20260811,005440,현대지에프홀딩스,KOSPI,금융,11860,857,7.23,14580,10800,-2720,-3.174,2720,3.174,0.68,1166,4024847366,임박
20260811,014970,삼륭물산,KOSDAQ,종이·목재,4575,386,8.44,5800,3545,-1225,-3.174,1225,3.174,0.14,2590,1098049676,임박
20260811,122350,삼기,KOSDAQ,운송장비·부품,1541,223,14.47,2250,1190,-709,-3.179,709,3.179,0.45,4484,7661428391,임박
20260811,078130,국일제지,KOSDAQ,종이·목재,3690,252,6.83,4495,3440,-805,-3.194,805,3.194,0.44,3968,624597224,임박
20260811,064350,현대로템,KOSPI,운송장비·부품,141400,13179,9.32,183500,113100,-42100,-3.194,42100,3.194,0.55,75,83211781085,임박
20260811,031430,신세계인터내셔날,KOSPI,유통,10740,614,5.72,12710,10000,-1970,-3.208,1970,3.208,3.86,1628,1102013386,임박
20260811,000500,가온전선,KOSPI,전기전자,157200,32082,20.41,260500,106400,-103300,-3.22,103300,3.22,0.64,31,41549039330,임박
20260811,000440,중앙에너비스,KOSDAQ,유통,12510,909,7.27,15440,11500,-2930,-3.223,2930,3.223,0.43,1100,961666432,임박
20260811,002990,금호건설,KOSPI,건설,11490,1711,14.89,17010,6800,-5520,-3.226,5520,3.226,2.18,584,65988724376,임박
20260811,248170,샘표식품,KOSPI,음식료·담배,24500,916,3.74,27500,21050,-3000,-3.275,3000,3.275,0.22,1091,899704295,임박
20260811,036120,서울평가정보,KOSDAQ,IT 서비스,1619,67,4.14,1840,1400,-221,-3.299,221,3.299,0.4,14925,501542119,임박
20260811,383220,F&F,KOSPI,섬유·의류,67000,4730,7.06,82700,59900,-15700,-3.319,15700,3.319,0.3,211,6670191815,임박
20260811,006660,삼성공조,KOSPI,운송장비·부품,11220,1179,10.51,15150,9500,-3930,-3.333,3930,3.333,0.05,848,20305053032,임박
20260811,322310,오로스테크놀로지,KOSDAQ,기계·장비,14730,2076,14.09,21650,10910,-6920,-3.333,6920,3.333,1.43,481,2134748613,임박
20260811,039860,나노엔텍,KOSDAQ,의료·정밀기기,4060,342,8.42,5200,3195,-1140,-3.333,1140,3.333,0.24,2923,2731506038,임박
20260811,105560,KB금융,KOSPI,금융,166600,8343,5.01,194500,156000,-27900,-3.344,27900,3.344,0.82,119,205740879165,임박
20260811,001290,상상인증권,KOSPI,증권,1090,92,8.44,1398,587,-308,-3.348,308,3.348,2.14,10869,1974186259,임박
20260811,065170,비엘팜텍,KOSDAQ,유통,2450,427,17.43,3880,2050,-1430,-3.349,1430,3.349,0.35,2341,4078781743,임박
20260811,009190,대양금속,KOSPI,금속,1780,161,9.04,2320,1357,-540,-3.354,540,3.354,0.48,6211,610685026,임박
20260811,412350,레이저쎌,KOSDAQ,기계·장비,4480,661,14.75,6700,2750,-2220,-3.359,2220,3.359,0.32,1512,1588681158,임박
20260811,071050,한국금융지주,KOSPI,금융,198100,17136,8.65,256000,172400,-57900,-3.379,57900,3.379,0.77,58,48986506510,임박
20260811,235980,메드팩토,KOSDAQ,일반서비스,2960,295,9.97,3960,2235,-1000,-3.39,1000,3.39,0.45,3389,812351626,임박
20260811,031980,피에스케이홀딩스,KOSDAQ,기계·장비,109100,15183,13.92,160700,75100,-51600,-3.399,51600,3.399,0.81,65,24827731675,임박
20260811,064850,에프앤가이드,KOSDAQ,IT 서비스,17980,2044,11.37,24950,14320,-6970,-3.41,6970,3.41,1.13,489,1213177522,임박
20260811,484870,엠앤씨솔루션,KOSPI,기계·장비,16960,3805,22.44,29950,13010,-12990,-3.414,12990,3.414,0.67,262,1337381686,임박
20260811,006650,대한유화,KOSPI,화학,89900,6498,7.23,112100,82000,-22200,-3.416,22200,3.416,0.91,153,2793843840,임박
20260811,065770,CS,KOSDAQ,전기전자,1628,233,14.31,2430,1280,-802,-3.442,802,3.442,0.25,4291,1121981302,임박
20260811,131760,파인텍,KOSDAQ,기계·장비,1860,228,12.26,2650,1316,-790,-3.465,790,3.465,0.39,4385,754988565,임박
20260811,131400,이브이첨단소재,KOSDAQ,전기전자,739,104,14.07,1100,580,-361,-3.471,361,3.471,0.43,9615,1659894856,임박
20260811,168360,펨트론,KOSDAQ,기계·장비,12380,1589,12.84,17900,8670,-5520,-3.474,5520,3.474,0.71,629,1450404356,임박
20260811,089470,HDC현대EP,KOSPI,화학,4020,237,5.9,4845,3400,-825,-3.481,825,3.481,0.35,4219,604316350,임박
20260811,042110,에스씨디,KOSDAQ,전기전자,1163,92,7.91,1485,1006,-322,-3.5,322,3.5,0.04,10869,4281502656,임박
20260811,058730,다스코,KOSPI,금속,3650,517,14.16,5470,2850,-1820,-3.52,1820,3.52,2.26,1934,17959533655,임박
20260811,187660,페니트리움바이오,KOSDAQ,일반서비스,4410,594,13.47,6530,3665,-2120,-3.569,2120,3.569,1.0,1683,2910175433,임박
20260811,458870,씨어스,KOSDAQ,의료·정밀기기,25250,3196,12.66,36700,21300,-11450,-3.583,11450,3.583,0.85,312,7336289515,임박
20260811,091590,남화토건,KOSDAQ,건설,5680,902,15.88,8920,3650,-3240,-3.592,3240,3.592,2.75,1108,4315943446,임박
20260811,026910,광진실업,KOSDAQ,금속,4500,615,13.67,6710,3800,-2210,-3.593,2210,3.593,0.74,1626,637792980,임박
20260811,402340,SK스퀘어,KOSPI,금융,945000,137270,14.53,1439000,768000,-494000,-3.599,494000,3.599,0.55,7,924337204500,임박
20260811,101670,하이드로리튬,KOSDAQ,금속,856,95,11.1,1198,700,-342,-3.6,342,3.6,0.62,10526,767885020,임박
